Date,factor,weight
2015-09-30,vol_regime_3_12,0.0
2015-10-30,credit_carry_3m,0.4713015512230591
2015-10-30,spx_mom_3m,0.3574075706648916
2015-10-30,rates_change_6m,0.17129087811204935
2015-10-30,vol_regime_3_12,0.0
2015-11-30,spx_mom_3m,0.375542355066785
2015-11-30,credit_carry_3m,0.4288983896458113
2015-11-30,rates_change_6m,0.1955592552874037
2015-11-30,vol_regime_3_12,0.0
2015-12-31,spx_mom_3m,0.36040282099874826
2015-12-31,credit_carry_3m,0.44617705112044725
2015-12-31,rates_change_6m,0.1934201278808046
2015-12-31,vol_regime_3_12,0.0
2016-01-29,credit_carry_3m,0.5
2016-01-29,spx_mom_3m,0.3205493671180852
2016-01-29,rates_change_6m,0.17945063288191482
2016-01-29,vol_regime_3_12,0.0
2016-02-29,credit_carry_3m,0.5
2016-02-29,spx_mom_3m,0.33583903041742313
2016-02-29,rates_change_6m,0.16416096958257695
2016-02-29,vol_regime_3_12,0.0
2016-03-31,credit_carry_3m,0.5
2016-03-31,spx_mom_3m,0.2814204392827618
2016-03-31,rates_change_6m,0.21857956071723825
2016-03-31,vol_regime_3_12,0.0
2016-04-29,credit_carry_3m,0.49403296509379047
2016-04-29,spx_mom_3m,0.2777817140854504
2016-04-29,rates_change_6m,0.22818532082075915
2016-04-29,vol_regime_3_12,0.0
2016-05-31,credit_carry_3m,0.48494926962222556
2016-05-31,spx_mom_3m,0.28618542199950364
2016-05-31,rates_change_6m,0.22886530837827082
2016-05-31,vol_regime_3_12,0.0
2016-06-30,credit_carry_3m,0.5
2016-06-30,spx_mom_3m,0.27663165154161223
2016-06-30,rates_change_6m,0.22336834845838774
2016-06-30,vol_regime_3_12,0.0
2016-07-29,credit_carry_3m,0.49610678233482985
2016-07-29,spx_mom_3m,0.2465376525848435
2016-07-29,rates_change_6m,0.2573555650803267
2016-07-29,vol_regime_3_12,0.0
2016-08-31,credit_carry_3m,0.46250150166503523
2016-08-31,spx_mom_3m,0.26478509371455045
2016-08-31,rates_change_6m,0.2727134046204143
2016-08-31,vol_regime_3_12,0.0
2016-09-30,credit_carry_3m,0.38010310958359195
2016-09-30,spx_mom_3m,0.3110521646699442
2016-09-30,rates_change_6m,0.3088447257464639
2016-09-30,vol_regime_3_12,0.0
2016-10-31,credit_carry_3m,0.3594214576335526
2016-10-31,spx_mom_3m,0.3352559759208385
2016-10-31,rates_change_6m,0.30532256644560885
2016-10-31,vol_regime_3_12,0.0
2016-11-30,credit_carry_3m,0.37403573818155417
2016-11-30,spx_mom_3m,0.30273942182551966
2016-11-30,rates_change_6m,0.3232248399929262
2016-11-30,vol_regime_3_12,0.0
2016-12-30,credit_carry_3m,0.3998209778210081
2016-12-30,spx_mom_3m,0.2998474873234471
2016-12-30,rates_change_6m,0.3003315348555447
2016-12-30,vol_regime_3_12,0.0
2017-01-31,credit_carry_3m,0.4577683497116824
2017-01-31,rates_change_6m,0.2599362140256196
2017-01-31,spx_mom_3m,0.28229543626269793
2017-01-31,vol_regime_3_12,0.0
2017-02-28,credit_carry_3m,0.28158311610362574
2017-02-28,rates_change_6m,0.30666943134520686
2017-02-28,spx_mom_3m,0.3775945495377076
2017-02-28,vol_regime_3_12,0.034152903013459794
2017-03-31,credit_carry_3m,0.3083141029896175
2017-03-31,rates_change_6m,0.3210465813737501
2017-03-31,spx_mom_3m,0.3706393156366324
2017-03-31,vol_regime_3_12,0.0
2017-04-28,credit_carry_3m,0.23482286646488268
2017-04-28,rates_change_6m,0.325832167540187
