Date,raw_score,prob_up,threshold,threshold_exit,threshold_score_gate,threshold_low,threshold_high,side,score_coverage,selected_factor_count,Forward_Return,Target_Up,Set,forward_return,turnover,gross_return,cost_drag,net_return,equity_gross,equity_net,drawdown_net
2008-04-30,-0.992988286324443,0.2712108782155197,0.52,0.48,0.07769599984112004,,,0.0,1.0,4,0.010700000000000001,1,train,0.010700000000000001,0.0,0.0,0.0,0.0,1.0583646273485428,1.0551895428997753,-0.11689518348626238
2008-05-30,-1.1332114294436963,0.19626765217373907,0.52,0.48,0.076918828841364,,,0.0,1.0,4,-0.086,0,train,-0.086,0.0,-0.0,0.0,-0.0,1.0583646273485428,1.0551895428997753,-0.11689518348626238
2008-06-30,-1.8007556138722718,0.1201726109432532,0.52,0.48,0.06468342882094957,,,0.0,1.0,4,-0.009899999999999999,0,train,-0.009899999999999999,0.0,-0.0,0.0,-0.0,1.0583646273485428,1.0551895428997753,-0.11689518348626238
2008-07-31,-1.0731904944376232,0.32929569886566296,0.52,0.48,0.05980333573512565,,,0.0,1.0,4,0.012199999999999999,1,train,0.012199999999999999,0.0,0.0,0.0,0.0,1.0583646273485428,1.0551895428997753,-0.11689518348626238
2008-08-29,-0.38948657399568276,0.702818940437225,0.52,0.48,0.05693634382968906,,,1.0,1.0,4,-0.0908,0,train,-0.0908,1.0,-0.0908,0.0005,-0.0913,0.9622651191852951,0.9588507376330258,-0.19752265323396667
2008-09-30,-0.7827072515927388,0.5075929974066354,0.52,0.48,0.06269661248639206,,,1.0,1.0,4,-0.16940000000000002,0,train,-0.16940000000000002,0.0,-0.16940000000000002,0.0,-0.16940000000000002,0.7992574079953061,0.7964214226779912,-0.3334623157761327
2008-10-31,-1.7650847522436788,0.24357129186414062,0.52,0.48,0.06378423348906885,,,0.0,1.0,4,-0.0748,0,train,-0.0748,1.0,-0.0,0.0005,-0.0005,0.7992574079953061,0.7960232119666523,-0.33379558461824466
2008-11-28,-1.7583686263340208,0.2053311273073424,0.52,0.48,0.06544101335263247,,,0.0,1.0,4,0.0078000000000000005,1,train,0.0078000000000000005,0.0,0.0,0.0,0.0,0.7992574079953061,0.7960232119666523,-0.33379558461824466
2008-12-31,-0.03864333467041464,0.7085147334965004,0.52,0.48,0.06920995680028655,,,0.0,1.0,4,-0.0857,0,train,-0.0857,0.0,-0.0,0.0,-0.0,0.7992574079953061,0.7960232119666523,-0.33379558461824466
2009-01-30,0.12695909912317813,0.6699130370513559,0.52,0.48,0.04923222375685122,,,1.0,1.0000000000000002,4,-0.1099,0,train,-0.1099,1.0,-0.1099,0.0005,-0.1104,0.711419018856622,0.7081422493655338,-0.4073445520763904
2009-02-27,-0.8049234488291529,0.45889839122300724,0.52,0.48,0.04091965668838166,,,0.0,1.0,4,0.08539999999999999,1,train,0.08539999999999999,1.0,0.0,0.0005,-0.0005,0.711419018856622,0.707788178240851,-0.40764087980035224
2009-03-31,-1.6243149542886872,0.3188111111319863,0.52,0.48,0.05385075728050289,,,0.0,1.0,4,0.09390000000000001,1,train,0.09390000000000001,0.0,0.0,0.0,0.0,0.711419018856622,0.707788178240851,-0.40764087980035224
2009-04-30,-1.0758485535042879,0.44622292168296235,0.52,0.48,0.05233283391152541,,,0.0,1.0,4,0.053099999999999994,1,train,0.053099999999999994,0.0,0.0,0.0,0.0,0.711419018856622,0.707788178240851,-0.40764087980035224
2009-05-29,0.20791455585429283,0.6190210762220558,0.52,0.48,0.07393257868991823,,,1.0,1.0,4,0.0002,0,train,0.0002,1.0,0.0002,0.0005,-0.00030000000000000003,0.7115613026603933,0.7075758417873789,-0.4078185875364121
2009-06-30,-0.48775203846786164,0.41341028955169906,0.52,0.48,0.0467593878418466,,,0.0,0.9999999999999998,4,0.0741,1,train,0.0741,1.0,0.0,0.0005,-0.0005,0.7115613026603933,0.7072220538664852,-0.4081146782426439
2009-07-31,0.8888795357247062,0.7196934841491377,0.52,0.48,0.07410906726510284,,,1.0,1.0,4,0.0336,1,train,0.0336,1.0,0.0336,0.0005,0.0331,0.7354697624297826,0.7306311038494657,-0.38852327409247545
2009-08-31,0.8393693365398198,0.6422873443881197,0.5800000000000001,0.5000000000000001,0.07171469680561943,,,1.0,1.0,4,0.035699999999999996,1,train,0.035699999999999996,0.0,0.035699999999999996,0.0,0.035699999999999996,0.7617260329485258,0.7567146342568917,-0.36669355497757683
