scenario,duration,buy_threshold,sell_threshold,tcost_bps,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,ending_equity_net,buy_count,hold_count,sell_count,periods
S017,8.5,0.5,-0.25,10.0,0.06307746844646989,0.07716230029975646,0.8331042306552197,-0.22709347131320134,0.2777599377107372,0.09986033519553073,6.201830896436953,94,157,109,358
S002,6.0,0.0001,-0.25,50.0,0.05504653954562988,0.06727058352975425,0.8318520555066449,-0.16067417551680396,0.3425973051896749,0.12779329608938547,4.946180016621506,196,58,106,358
S003,6.0,0.0001,-0.5,0.0,0.05650730424707273,0.06917074554069427,0.8309527742651391,-0.14451632668698622,0.39100982942546136,0.10544692737430168,5.154616590005315,196,96,68,358
S014,8.5,0.25,-0.25,50.0,0.062342190358342764,0.07676812325659348,0.8279615883030027,-0.24538227785808941,0.25406150314733317,0.11103351955307263,6.075128702304505,143,108,109,358
S011,8.5,0.0001,-0.25,10.0,0.06201090516625718,0.0766762072453425,0.8247655267526537,-0.22709347131320134,0.27306335495983225,0.14455307262569828,6.0188630137832835,197,54,109,358
S010,8.5,0.0001,-0.0001,5.0,0.062094609982799254,0.07697246900273202,0.8229122724805233,-0.22394715437017487,0.27727349408583946,0.18924581005586588,6.033031755188641,197,15,148,358
S007,6.0,0.5,-0.0001,25.0,0.05250464338324479,0.06491194747837593,0.8223324117922128,-0.1696737360722318,0.30944472962446606,0.09427374301675978,4.60274178822452,81,130,149,358
S003,6.0,0.0001,-0.5,5.0,0.05584343872613906,0.0691509066355302,0.8220418806710887,-0.14493389540144463,0.3853028207891695,0.10544692737430168,5.058858235767477,196,96,68,358
S009,6.0,0.5,-0.5,25.0,0.05402877549721197,0.06711004018318893,0.8192353342516627,-0.16967373607223157,0.3184274522853169,0.07751396648044692,4.805795429788691,81,211,68,358
S003,6.0,0.0001,-0.5,10.0,0.055179662207277325,0.06913514402744338,0.8130779297172316,-0.14535146411590316,0.37962921490269336,0.10544692737430168,4.964832741506261,196,96,68,358
S015,8.5,0.25,-0.5,0.0,0.06102458291964874,0.07675056960456508,0.8118706510875829,-0.2027054159859506,0.3010505793484981,0.09427374301675975,5.854311295173951,143,138,79,358
S017,8.5,0.5,-0.25,25.0,0.06118272656638979,0.07709301033688888,0.8105372007168369,-0.23399456146937947,0.2614707204397832,0.09986033519553073,5.880399090876654,94,157,109,358
S006,6.0,0.25,-0.5,25.0,0.05408886459478057,0.06798465841221357,0.8104116420671733,-0.1466041702592784,0.36894492495759923,0.09427374301675978,4.813975692562388,143,149,68,358
S004,6.0,0.25,-0.0001,50.0,0.05228776288714787,0.0657074574761159,0.8100306709519027,-0.14869201383156982,0.3516514541687262,0.1557262569832402,4.574530348251177,143,68,149,358
S010,8.5,0.0001,-0.0001,10.0,0.06089299619357669,0.07699637676353743,0.8079096334127518,-0.22706230747122214,0.26817747459601704,0.18924581005586588,5.83268968976854,197,15,148,358
S016,8.5,0.5,-0.0001,25.0,0.0601741481696525,0.07606895474422366,0.8077855472215872,-0.18138013558032928,0.3317571021607418,0.11103351955307263,5.715928186804905,94,118,148,358
S015,8.5,0.25,-0.5,5.0,0.060430384857834696,0.07671312078944043,0.8048935022155934,-0.20391936712115377,0.2963445096508731,0.09427374301675975,5.75728686616267,143,138,79,358
S015,8.5,0.25,-0.5,10.0,0.05983622703606284,0.07667898322821895,0.7978750815971279,-0.20513208609388434,0.29169608799608826,0.09427374301675975,5.66182381720639,143,138,79,358
S013,8.5,0.25,-0.0001,50.0,0.05993036202711788,0.0773554970027343,0.7927366339677397,-0.25159229154885887,0.23820428542612757,0.13337988826815642,5.676845779589781,143,69,148,358
S001,6.0,0.0001,-0.0001,25.0,0.05166923276539648,0.06647990109832752,0.7925175572823032,-0.15244856160387477,0.3389289621482608,0.21717877094972063,4.49498791488656,196,15,149,358
S011,8.5,0.0001,-0.25,25.0,0.059267836021295706,0.0766269934823575,0.7913391142613364,-0.2339945614693797,0.25328723731492125,0.14455307262569828,5.57193358912169,197,54,109,358
S003,6.0,0.0001,-0.5,25.0,0.05318886697885339,0.0691123382700153,0.7858830484304904,-0.1466041702592782,0.36280596169116963,0.10544692737430168,4.692850786249386,196,96,68,358
S009,6.0,0.5,-0.5,50.0,0.05158649050385744,0.06716793095723565,0.7839082796852449,-0.17380756100445482,0.2968023382051557,0.07751396648044692,4.484449240063282,81,211,68,358
S018,8.5,0.5,-0.5,0.0,0.05872110890574023,0.07674655884536204,0.7834470421832243,-0.2027054159859507,0.2896869263217423,0.08310055865921787,5.486771869783987,94,187,79,358
S022,10.0,0.25,-0.0001,0.0,0.06476462410227302,0.08489459318572389,0.7832940881808271,-0.24579200080157937,0.2634936201791025,0.1361731843575419,6.502287085505822,140,71,149,358
