Date,spx_Price,spx_Return,I1_AR3,I1_AR3_Forecast,I2_MACD,I2_MACD_Line,I2_MACD_Vel,I3_CreditSpread,I3_Spread_Index,I3_Spread_ROC_Inv,I4_CommodityMom,I4_Commodity_ZScore,I5_VolRegime,I5_Vol_ZScore,Vote_Sum,Composite_Score,Signal,Position,Forward_Return,Strategy_Return,BH_Return,Strategy_Cumulative,BH_Cumulative,Bench_6040_Return,Bench_6040_Cumulative,Bench_EW_Return,Bench_EW_Cumulative,Bench_SMA_Return,Bench_SMA_Cumulative,Bench_Random_Return,Bench_Random_Cumulative,Meta_Label,Rolling_Sharpe,Rolling_HitRate,Set
1999-09-30,1282.71,-0.0286,1.0,0.02680763148270968,0.0,29.479487610736214,-23.545708878307323,0.0,-0.09745499999999997,-0.014051999999999995,0.0,1.7379934592073865,1.0,-1.1060135646949247,2.0,0.4,SELL,0,0.0625,0.0,0.0625,1.0635859297772299,2.14270711485739,0.0475052,1.671666889255695,0.012178000000000003,1.2741456307999568,0.0625,1.839662840769113,0.06249999999999999,1.9892064173541237,0.0,0.015314047321738517,0.25,train
1999-10-29,1362.93,0.0625,1.0,0.027883058143210536,1.0,42.691744195907404,13.21225658517119,0.0,-0.07704199999999997,-0.007684999999999997,1.0,0.8847881302215997,1.0,0.14615522715862228,4.0,0.8,BUY,1,0.0191,0.0191,0.0191,1.0839004210359748,2.183632820751166,0.0225488,1.709360971608144,0.016688,1.2954085730867466,0.0191,1.8748004010278028,0.019099999999999943,2.0272002599255874,1.0,-0.5565717627525872,0.25,train
1999-11-30,1388.91,0.0191,1.0,0.018597001500059798,1.0,52.482054235667874,9.79031003976047,0.0,-0.050419999999999965,-0.020557000000000006,0.0,1.68139752747486,1.0,0.048913838288301495,3.0,0.6,BUY,1,0.057800000000000004,0.057800000000000004,0.057800000000000004,1.1465498653718542,2.3098467977905837,0.050897200000000004,1.796362658852278,0.02932375,1.3333948102317992,0.057800000000000004,1.9831638642072098,0.057800000000000094,2.1443724349492865,1.0,0.20756636564614636,0.3333333333333333,train
1999-12-31,1469.25,0.057800000000000004,1.0,0.017738112096693452,1.0,77.2788125032364,24.79675826756852,0.0,-0.00457699999999997,-0.092878,1.0,1.38129004985333,1.0,-0.767708216404917,4.0,0.8,BUY,1,-0.0509,-0.0509,-0.0509,1.0881904772244269,2.192275595783043,-0.0166932,1.7663756177155252,0.00735925,1.3432075959889975,-0.0509,1.882220823519063,-0.05090000000000005,2.0352238780103677,0.0,-0.2978812055096129,0.3333333333333333,train
2000-01-31,1394.46,-0.0509,1.0,0.00971775205598328,0.0,56.60077611240217,-20.678036390834222,0.0,0.03354000000000003,-0.110582,0.0,1.673813142604543,1.0,0.4382922436467635,2.0,0.4,SELL,0,-0.020099999999999996,-0.0,-0.020099999999999996,1.0881904772244269,2.1482108563078035,-0.027423999999999997,1.7179345327752946,-0.009078999999999997,1.3310126142250134,-0.020099999999999996,1.8443881849663297,-0.020100000000000014,1.9943158780623593,1.0,0.005918290139200805,0.4166666666666667,train
2000-02-29,1366.42,-0.020099999999999996,1.0,0.026187733859117046,0.0,34.07423612411526,-22.526539988286913,0.0,-0.014169999999999974,-0.03624999999999999,1.0,1.2532567086363866,1.0,0.45793543064082615,3.0,0.6,BUY,1,0.0967,0.0967,0.0967,1.193418496372029,2.355942846112768,0.03274319999999999,1.7741852067688628,0.011676249999999999,1.3465538502618584,0.0967,2.022740522452574,0.09670000000000009,2.1871662234709897,1.0,0.6946744717788897,0.5,train
2000-03-31,1498.58,0.0967,1.0,0.024379566983611593,1.0,63.81208466307817,29.737848538962908,1.0,-0.08586199999999998,0.08128500000000001,1.0,0.8625278292136024,0.0,1.243945241795493,4.0,0.8,BUY,1,-0.0308,-0.0308,-0.0308,1.1566612066837703,2.2833798064524946,-0.004622399999999999,1.7659842130690944,-0.005405750000000001,1.3392747167858055,-0.0308,1.9604401143610344,-0.030800000000000046,2.119801503788083,0.0,0.20287992934133214,0.4166666666666667,train
2000-04-28,1452.43,-0.0308,1.0,0.018527545986468528,0.0,55.492378641465166,-8.319706021613001,1.0,-0.04241799999999998,0.075958,1.0,1.1151161953172402,1.0,0.9419002295681878,4.0,0.8,BUY,1,-0.0219,-0.0219,-0.0219,1.1313303262573957,2.233373788691185,-0.009276399999999999,1.7496022371149802,0.011396749999999999,1.3545380959143343,-0.0219,1.9175064758565277,-0.021900000000000055,2.073377850855124,0.0,0.2258705610743508,0.4166666666666667,train
2000-05-31,1420.6,-0.0219,1.0,0.019623486569887848,0.0,36.91637357430841,-18.576005067156757,1.0,-0.029058999999999977,0.014889000000000003,1.0,1.4497794396386885,1.0,0.9365695798733988,4.0,0.8,BUY,1,0.0239,0.0239,0.0239,1.1583691210549476,2.2867514222409047,-0.0010300000000000014,1.7478001468107518,0.007313999999999999,1.3644451875478518,0.0239,1.9633348806294988,0.0,2.073377850855124,1.0,0.3918757180303142,0.5,train
2000-06-30,1454.6,0.0239,1.0,0.027439186655918615,0.0,36.779246630989064,-0.13712694331934472,1.0,-0.09258399999999997,0.006721999999999992,1.0,1.325470824721127,1.0,-0.640578328103312,4.0,0.8,BUY,1,-0.0163,-0.0163,-0.0163,1.139487704381752,2.2494773740583778,-0.009779999999999999,1.7307066613749427,-0.014793749999999998,1.3442599265545658,-0.0163,1.931332522075238,-0.016299999999999912,2.0395817918861856,0.0,0.5156111066792072,0.5,train
